"弟","弟[おとうと]","Younger Brother","弟","[sound:JLPT_Tango_N5_0035.mp3]","単語N5"
"妹","妹[いもうと]","Younger Sister","妹","[sound:JLPT_Tango_N5_0036.mp3]","単語N5"
"兄弟","兄弟[きょうだい]","Siblings","兄弟","[sound:JLPT_Tango_N5_0037.mp3]","単語N5"
"犬","犬[いぬ]","Dog","犬","[sound:JLPT_Tango_N5_0038.mp3]","単語N5"
"猫","猫[ねこ]","Cat","猫","[sound:JLPT_Tango_N5_0039.mp3]","単語N5"
"犬がいます","犬[いぬ]がいます","I have a dog.<br><br>いる - have, be<br><br>Note: Exists (for living, animate objects)","犬がいます","[sound:JLPT_Tango_N5_0040-01.mp3]","単語N5"
"兄がいます","兄[あに]がいます","I have an older brother.<br><br>いる - have, be<br><br>Note: Someone related to that person exists","兄がいます","[sound:JLPT_Tango_N5_0040-02.mp3]","単語N5"
"うちに猫がいます。","うちに 猫[ねこ]がいます。","""I own a cat.<br><br>うち - One's Household (when used as an pronoun) / House""","うちに猫がいます。","[sound:JLPT_Tango_N5_0041.mp3]","単語N5"
"おじいさん","おじいさん","Grandfather","おじいさん","[sound:JLPT_Tango_N5_0042.mp3]","単語N5"
"おばあさん","おばあさん","Grandmother","おばあさん","[sound:JLPT_Tango_N5_0043.mp3]","単語N5"
"お父さん","お 父[とう]さん","Father","お父さん","[sound:JLPT_Tango_N5_0045.mp3]","単語N5"
"ご両親","ご 両親[りょうしん]","Parents (Formal)","ご両親","[sound:JLPT_Tango_N5_0044.mp3]","単語N5"
"お母さん","お 母[かあ]さん","Mother","お母さん","[sound:JLPT_Tango_N5_0046.mp3]","単語N5"
"お姉さん","お 姉[ねえ]さん","Older Sister","お姉さん","[sound:JLPT_Tango_N5_0047.mp3]","単語N5"
"お兄さん","お 兄[にい]さん","Older Brother","お兄さん","[sound:JLPT_Tango_N5_0048.mp3]","単語N5"
"弟さん","弟[おとうと]さん","Younger Brother","弟さん","[sound:JLPT_Tango_N5_0049.mp3]","単語N5"
"妹さん","妹[いもうと]さん","Younger Sister","妹さん","[sound:JLPT_Tango_N5_0050.mp3]","単語N5"
"一人","一人[ひとり]","One Person","一人","[sound:JLPT_Tango_N5_0051.mp3]","単語N5"
"二人","二人[ふたり]","Two People","二人","[sound:JLPT_Tango_N5_0052.mp3]","単語N5"
"三人","三[さん] 人[にん]","Three People","三人","[sound:JLPT_Tango_N5_0053.mp3]","単語N5"
"四人","四[よ] 人[にん]","Four People","四人","[sound:JLPT_Tango_N5_0054.mp3]","単語N5"
"五人","五[ご] 人[にん]","Five People","五人","[sound:JLPT_Tango_N5_0055.mp3]","単語N5"
"六人","六[ろく] 人[にん]","Six People","六人","[sound:JLPT_Tango_N5_0056.mp3]","単語N5"
"七人","七[しち] 人[にん]・ 七[なな] 人[にん]","Seven People","七人","[sound:JLPT_Tango_N5_0057.mp3]","単語N5"
"八人","八[はち] 人[にん]","Eight People","八人","[sound:JLPT_Tango_N5_0058.mp3]","単語N5"
"九人","九[く] 人[にん]","Nine People","九人","[sound:JLPT_Tango_N5_0059.mp3]","単語N5"
"十人","十[じゅう] 人[にん]","Ten People","十人","[sound:JLPT_Tango_N5_0060.mp3]","単語N5"
